date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:15	1723/1723	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226bb-18f0b751e11%22	https://fhs-news.org/img/calendar.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/calendar.svg	(from https://fhs-news.org/)
12:39:16	26560/26560	---M--	200	added ('OK')	font/woff	etag:W/%2267c0-18f0b751d9e%22	https://fhs-news.org/fonts/roboto-bold-webfont.woff	C:/Users/CSAIn/Schedlink/fhs-news.org/fonts/roboto-bold-webfont.woff	(from https://fhs-news.org/css/global.css)
12:39:16	26148/26148	---M--	200	added ('OK')	font/woff	etag:W/%226624-18f0b751d9f%22	https://fhs-news.org/fonts/roboto-regular-webfont.woff	C:/Users/CSAIn/Schedlink/fhs-news.org/fonts/roboto-regular-webfont.woff	(from https://fhs-news.org/css/global.css)
12:39:16	17204/17204	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224334-18f0b751e1d%22	https://fhs-news.org/img/lock.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/lock.svg	(from https://fhs-news.org/css/home.css)
12:39:16	145/145	---M--	200	added ('OK')	image/svg+xml	etag:W/%2291-18f0b751e12%22	https://fhs-news.org/img/checkmark.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/checkmark.svg	(from https://fhs-news.org/css/home.css)
12:39:17	1446/1446	---M-Z	200	added ('OK')	text/css	etag:W/%225a6-18f0b751d8a%22	https://fhs-news.org/css/info.css	C:/Users/CSAIn/Schedlink/fhs-news.org/css/info.css	(from https://fhs-news.org/info)
12:39:17	2521/2521	---M-Z	200	added ('OK')	text/css	etag:W/%229d9-18f0b751d89%22	https://fhs-news.org/css/club.css	C:/Users/CSAIn/Schedlink/fhs-news.org/css/club.css	(from https://fhs-news.org/clubs)
12:39:18	4871/4871	---M-Z	200	added ('OK')	application/javascript	etag:W/%221307-18f0b751e75%22	https://fhs-news.org/js/clubs.js	C:/Users/CSAIn/Schedlink/fhs-news.org/js/clubs.js	(from https://fhs-news.org/clubs)
12:39:18	17504/17504	---M-Z	200	added ('OK')	application/javascript	etag:W/%224460-18f0b751e74%22	https://fhs-news.org/js/calendar.js	C:/Users/CSAIn/Schedlink/fhs-news.org/js/calendar.js	(from https://fhs-news.org/calendar)
12:39:18	11233/11233	---M-Z	200	added ('OK')	text/css	etag:W/%222be1-18f0b751d89%22	https://fhs-news.org/css/calendar.css	C:/Users/CSAIn/Schedlink/fhs-news.org/css/calendar.css	(from https://fhs-news.org/calendar)
